activityid,age,gender,autosuf,numhouseholdpersons,income,oduden,oempden,ototint,dempden,sovdrivetime,hovdrivetime,tolldrivetime,tollcostsov,tollcosthov2,tollcosthov3,walkttime,walktotransitutility,drivetotransitutility,parkingcost,parkingwalktime,sovcost,hovcost,tollcost,tourpurpose,tourmode,firststop,laststop,zerototalstops,targettripmode
12271043,6,True,2,2,5,17.0214996337891,75.3316650390625,3.0,41.1516494750977,10.9873366296595,10.9873366296595,10.9873366296595,0.0,0.0,0.0,28.8309398251034,-999.0,-999.0,0.0,0.0,125.414585489667,125.414585489667,125.414585489667,0,1,False,False,False,1
15171949,7,True,1,4,3,7.85589981079102,42.9899406433105,10.0,60.7396354675293,8.7414977396145,8.7414977396145,8.7414977396145,0.0,0.0,0.0,21.0658916536477,-999.0,-999.0,0.0,0.0,91.6366266843677,91.6366266843677,91.6366266843677,0,1,True,False,False,1
7111344,4,False,1,1,4,12.9642000198364,38.367115020752,4.0,11.7380304336548,26.3305928894063,26.2019452708933,26.3305928894063,0.0,0.0,0.0,93.9715899469104,-999.0,-999.0,0.0,0.0,408.776407307231,408.75352783274,408.776407307231,0,1,False,False,False,1
1091716,6,False,1,3,1,0.264899998903275,4.68859672546387,25.0,35.0762939453125,17.9601827115277,17.9601827115277,17.9601827115277,0.0,0.0,0.0,57.7623402246419,-999.0,-999.0,0.0,0.0,251.266174468546,251.266174468546,251.266174468546,0,1,False,False,False,1
4760683,6,False,1,2,5,1.69589996337891,20.2687320709229,2.0,33.5564384460449,34.3018470695828,34.2860657392248,34.3018470695828,0.0,0.0,0.0,134.700447525647,-999.0,-999.0,0.0,0.0,585.946933890527,585.982689977473,585.946933890527,0,1,False,False,False,1
16705680,7,True,1,2,5,5.55889987945557,10.9191122055054,12.0,59.0466384887695,3.50256205663354,3.50256205663354,3.50256205663354,0.0,0.0,0.0,12.8424377203315,-4.180496659242,-999.0,0.0,0.0,55.8646028586917,55.8646028586917,55.8646028586917,7,1,True,False,False,1
13167429,4,True,1,4,2,3.14650011062622,13.7034683227539,11.0,36.4135665893555,14.9285980825775,14.9285980825775,14.9285980825775,0.0,0.0,0.0,55.3595951597512,-4.38157790946019,0.096349335187276,0.0,0.0,240.814233665415,240.814233665415,240.814233665415,1,5,False,False,True,5
6838306,7,False,1,1,3,4.31589984893799,29.8742141723633,23.0,8.66429901123047,29.6412658793241,29.6412658793241,29.6412658793241,0.0,0.0,0.0,110.574638891627,-999.0,-999.0,0.0,0.0,480.999668633359,480.999668633359,480.999668633359,0,1,False,False,True,1
6155705,6,False,1,5,4,14.7531003952026,5.37097501754761,3.0,26.1201229095459,37.2427605116023,37.2414831171262,37.2427605116023,0.0,0.0,0.0,133.511804869342,-999.0,-999.0,0.0,0.0,580.776338448961,580.730800557704,580.776338448961,0,1,False,False,True,1
16001848,6,False,0,2,2,13.3520002365112,62.7211685180664,14.0,4.49218654632568,45.5960479460424,45.5947497082998,45.5960479460424,0.0,0.0,0.0,171.258758836646,-999.0,-999.0,0.0,0.0,744.975584606904,744.929880922354,744.975584606904,0,1,False,False,True,1
11070583,7,False,2,3,3,4.91709995269775,19.3549194335938,1.0,32.3892364501953,7.40222779362016,7.40222779362016,7.40222779362016,0.0,0.0,0.0,18.1650917728034,-999.0,-999.0,0.0,0.0,79.0181474793367,79.0181474793367,79.0181474793367,0,1,True,False,False,1
2468163,6,False,1,4,2,0.930000007152557,25.4194030761719,11.0,3.29280018806458,21.2310867489433,21.2310867489433,21.2310867489433,0.0,0.0,0.0,72.026299837406,-999.0,-999.0,0.0,0.0,313.314397423753,313.314397423753,313.314397423753,0,1,False,False,True,1
5080965,6,True,1,2,2,5.23400020599365,3.01728892326355,1.0,34.5745544433594,17.2903813645997,17.2903813645997,17.2903813645997,0.0,0.0,0.0,51.1642084825093,-999.0,-999.0,0.0,0.0,222.564302019516,222.564302019516,222.564302019516,0,3,False,False,False,1
14699019,3,True,1,4,1,13.4038000106812,21.1603832244873,3.0,52.7258453369141,7.76054587700886,7.76054587700886,7.76054587700886,0.0,0.0,0.0,14.7351492447513,-999.0,-999.0,0.0,0.0,64.0978978094147,64.0978978094147,64.0978978094147,2,9,False,False,False,9
5509100,4,False,2,5,4,7.23280000686646,32.3389472961426,1.0,19.469388961792,33.4214572682695,33.4201768961839,33.4214572682695,0.0,0.0,0.0,127.095769431797,-999.0,-999.0,0.0,0.0,552.866584907518,552.820494371951,552.866584907518,0,5,False,False,False,1
4163765,6,False,1,5,5,7.60410022735596,131.759368896484,4.0,95.1252517700195,29.8626868770758,29.8626868770758,29.8626868770758,0.0,0.0,0.0,105.17725398693,-999.0,-999.0,0.0,0.0,457.521044812661,457.521044812661,457.521044812661,0,3,False,False,False,1
